,hour,count
0,00,22819
1,01,16823
2,02,14083
3,03,8597
4,04,7409
5,05,9093
6,06,8701
7,07,8746
8,08,6133
9,09,3908
10,10,3686
11,11,4660
12,12,7891
13,13,13792
14,14,19256
15,15,25864
16,16,31019
17,17,31831
18,18,36746
19,19,40311
20,20,31995
21,21,26964
22,22,26394
23,23,25460
